audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
,,,Vanuatu,0,167.486,0,mwi,-16.418961,0,See OLAC information about Labo,http://www.language-archives.org/language/mwi,167.449493,Labo,-16.376,1100,0.10,pacific,-16.488,0,Labo,167.397,See the wikipedia entry for Labo,http://en.wikipedia.org/wiki/Labo_language,,,,
,,,Vanuatu,8,167.847,4,klv,-16.538139,2,See OLAC information about Maskelynes,http://www.language-archives.org/language/klv,167.846375,Maskelynes,-16.522,1100,0.10,pacific,-16.544,2,Maskelynes,167.818,See the wikipedia entry for Maskelynes,http://en.wikipedia.org/wiki/Maskelynes_language,,,,
CH1-200206-A,,,Vanuatu,14,,2,msn,-13.899076,4,See OLAC information about Vurės,http://www.language-archives.org/language/msn,167.436447,Vurës,,1050,0.09,pacific,,3,Vurës,,See the wikipedia entry for Vurės,http://en.wikipedia.org/wiki/Vurės_language,,See a dictionary of Vurės,,http://paradisec.org.au/vandicts/Vureslexicon/index-english/main.htm
AB1-001-A,,,Vanuatu,11,167.34,4,mme,-16.041854,0,See OLAC information about Mae,http://www.language-archives.org/language/mme,167.313538,Mae,-15.913,1000,0.09,pacific,-16.045,3,Mae,167.235,See the wikipedia entry for Mae,http://en.wikipedia.org/wiki/Mae_language,,,,
,,,Vanuatu,0,167.785,0,vrt,-16.387344,0,See OLAC information about Burmbar,http://www.language-archives.org/language/vrt,167.744751,Burmbar,-16.338,900,0.08,pacific,-16.478,0,Burmbar,167.677,See the wikipedia entry for Burmbar,http://en.wikipedia.org/wiki/Burmbar_language,,,,
,,,Vanuatu,10,167.708,3,mtt,-13.835413,5,See OLAC information about Mota,http://www.language-archives.org/language/mtt,167.689819,Mota,-13.801,900,0.08,pacific,-13.828,1,Mota,167.661,See the wikipedia entry for Mota,http://en.wikipedia.org/wiki/Mota_language,See a story in Mota,,http://anglicanhistory.org/oceania/codrington_mota1887.html,
,,,Vanuatu,4,167.611,1,tgs,-14.227446,1,See OLAC information about Nume,http://www.language-archives.org/language/tgs,167.582359,Nume,-14.152,900,0.08,pacific,-14.267,1,Nume,167.514,See the wikipedia entry for Nume,http://en.wikipedia.org/wiki/Nume_language,,,,
,,,Vanuatu,0,166.957,0,tlm,-15.215288,0,See OLAC information about Tolomako,http://www.language-archives.org/language/tlm,166.872711,Tolomako,-15.087,900,0.08,pacific,-15.21,0,Tolomako,166.706,See the wikipedia entry for Tolomako,http://en.wikipedia.org/wiki/Tolomako_language,,,,
,,,Vanuatu,0,168.197,0,lmu,-16.62328,0,See OLAC information about Lamenu,http://www.language-archives.org/language/lmu,168.144035,Lamenu,-16.572,850,0.07,pacific,-16.649,0,Lamenu,168.145,See the wikipedia entry for Lamenu,http://en.wikipedia.org/wiki/Lamenu_language,,,,
,,,Vanuatu,8,168.188,,bnk,-16.661191,,See OLAC information about Bierebo,http://www.language-archives.org/language/bnk,168.175964,Bierebo,-16.636,800,0.07,pacific,-16.703,3,Bierebo,168.121,See the wikipedia entry for Bierebo,http://en.wikipedia.org/wiki/Bierebo_language,,,,
,,,Vanuatu,0,167.682,0,nms,-16.412375,0,See OLAC information about Letemboi,http://www.language-archives.org/language/nms,167.593689,Letemboi,-16.332,800,0.07,pacific,-16.528,0,Letemboi,167.449,See the wikipedia entry for Letemboi,http://en.wikipedia.org/wiki/Letemboi_language,,,,
,,,Vanuatu,3,166.989,1,tgp,-15.580711,2,See OLAC information about Tangoa,http://www.language-archives.org/language/tgp,167.009354,Tangoa,-15.548,800,0.07,pacific,-15.596,0,Tangoa,166.933,See the wikipedia entry for Tangoa,http://en.wikipedia.org/wiki/Tangoa_language,,,,
,,,Vanuatu,1,167.74,1,aul,-16.343861,0,See OLAC information about Aulua,http://www.language-archives.org/language/aul,167.692566,Aulua,-16.296,750,0.07,pacific,-16.405,0,Aulua,167.653,See the wikipedia entry for Aulua,http://en.wikipedia.org/wiki/Aulua_language,,,,
,,,Vanuatu,0,167.786,0,ahb,-16.521353,0,See OLAC information about Axamb,http://www.language-archives.org/language/ahb,167.6548,Axamb,-16.445,750,0.07,pacific,-16.559,0,Axamb,167.641,See the wikipedia entry for Axamb,http://en.wikipedia.org/wiki/Axamb_language,,,,
,,,Vanuatu,10,167.589,4,tmb,-16.262141,3,See OLAC information about Avava,http://www.language-archives.org/language/tmb,167.490692,Avava,-16.198,700,0.06,pacific,-16.316,3,Avava,167.38,See the wikipedia entry for Avava,http://en.wikipedia.org/wiki/Avava_language,,,,
,,,Vanuatu,7,167.527,1,lkn,-14.310962,1,See OLAC information about Lakon,http://www.language-archives.org/language/lkn,167.438507,Lakon,-14.152,700,0.06,pacific,-14.277,3,Lakon,167.417,See the wikipedia entry for Lakon,http://en.wikipedia.org/wiki/Lakon_language,,,,
,,,Vanuatu,0,167.448,0,lrv,-16.139496,0,See OLAC information about Larevat,http://www.language-archives.org/language/lrv,167.386322,Larevat,-16.086,680,0.06,pacific,-16.198,0,Larevat,167.325,See the wikipedia entry for Larevat,http://en.wikipedia.org/wiki/Larevat_language,,,,
,,,Vanuatu,0,167.585,0,mlx,-16.528265,0,See OLAC information about Malfaxal,http://www.language-archives.org/language/mlx,167.501678,Malfaxal,-16.515,600,0.05,pacific,-16.608,0,Malfaxal,167.433,See the wikipedia entry for Malfaxal,http://en.wikipedia.org/wiki/Malfaxal_language,,,,
LD1-07064-A,,,Vanuatu,16,167.54,5,sns,-16.508516,3,See OLAC information about Nahavaq,http://www.language-archives.org/language/sns,167.46048,Nahavaq,-16.477,600,0.05,pacific,-16.543,3,Nahavaq,167.414,See the wikipedia entry for Nahavaq,http://en.wikipedia.org/wiki/Nahavaq_language,See a story in Nahavaq,,http://www.eopas.org/transcripts/120,
,,,Vanuatu,0,168.223,0,ske,-15.830572,0,See OLAC information about Ske,http://www.language-archives.org/language/ske,168.232269,Ske,-15.866,600,0.05,pacific,-15.903,0,Ske,168.17,See the wikipedia entry for Ske,http://en.wikipedia.org/wiki/Ske_language,,,,
,,,Vanuatu,13,167.549,5,lgk,-16.17643,3,See OLAC information about Neverver,http://www.language-archives.org/language/lgk,167.478333,Neverver,-16.127,560,0.05,pacific,-16.241,5,Neverver,167.448,See the wikipedia entry for Neverver,http://en.wikipedia.org/wiki/Neverver_language,,,,
,,,Vanuatu,0,167.096,0,bnr,-15.329221,0,See OLAC information about Butmas-Tur,http://www.language-archives.org/language/bnr,167.071838,Butmas-Tur,-15.215,520,0.05,pacific,-15.453,0,Butmas-Tur,166.971,See the wikipedia entry for Butmas-Tur,http://en.wikipedia.org/wiki/Butmas-Tur_language,,,,
