CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude
uwhi,Maori,mri,Austronesian,uwhi,yam,Intercontinental Dictionary Series,-38.2881,176.541
puauhi,Marquesan,,Austronesian,puauhi,yam,Intercontinental Dictionary Series,,
uhi,Rapa Nui,rap,Austronesian,ʔuhi,yam,Intercontinental Dictionary Series,-27.113,-109.342
uhi,Rotuman,rtm,Austronesian,ʔuhi,yam,Intercontinental Dictionary Series,-12.5008,177.066
ufi,Tongan,ton,Austronesian,ʔufi,yam,Intercontinental Dictionary Series,-21.17,-175.25
kwarangas,amaimon,ali,Nuclear Trans New Guinea,kwaraŋas,yam,Madang Comparative Wordlists,-5.18742,145.368
m,amaimon,ali,Nuclear Trans New Guinea,mʌ,yam,Madang Comparative Wordlists,-5.18742,145.368
malak,amele,aey,Nuclear Trans New Guinea,malak,yam,Madang Comparative Wordlists,-5.29126,145.687
o,amele,aey,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.29126,145.687
nambang,anam,pda,Nuclear Trans New Guinea,nambaŋ,yam,Madang Comparative Wordlists,-4.68869,145.051
nuza,anam,pda,Nuclear Trans New Guinea,nuza,yam,Madang Comparative Wordlists,-4.68869,145.051
mumba,anamgura,imi,Nuclear Trans New Guinea,mumba,yam,Madang Comparative Wordlists,-4.63762,144.991
nambmba,anamgura,imi,Nuclear Trans New Guinea,nambʌmba,yam,Madang Comparative Wordlists,-4.63762,144.991
alam,anjam,boj,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.45899,145.717
sambi,anjam,boj,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.45899,145.717
gunja,apali,ena,Nuclear Trans New Guinea,ɣunja,yam,Madang Comparative Wordlists,-5.1727,145.023
kuni,apali,ena,Nuclear Trans New Guinea,kuni,yam,Madang Comparative Wordlists,-5.1727,145.023
doku,arawum,awm,Nuclear Trans New Guinea,doku,yam,Madang Comparative Wordlists,-5.52787,145.903
mulangk,arawum,awm,Nuclear Trans New Guinea,mulaŋk,yam,Madang Comparative Wordlists,-5.52787,145.903
debel,asas,asd,Nuclear Trans New Guinea,dɛbɛl,yam,Madang Comparative Wordlists,-5.69345,145.549
hou,asas,asd,Nuclear Trans New Guinea,hou,yam,Madang Comparative Wordlists,-5.69345,145.549
ma,atemble,ate,Nuclear Trans New Guinea,ma,yam,Madang Comparative Wordlists,-5.08137,144.806
tuguk,atemble,ate,Nuclear Trans New Guinea,tuguk,yam,Madang Comparative Wordlists,-5.08137,144.806
o,bagupi,bpi,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.07778,145.632
sabel,bagupi,bpi,Nuclear Trans New Guinea,sabɛl,yam,Madang Comparative Wordlists,-5.07778,145.632
