CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
uwhi,Maori,mri,Austronesian,uwhi,yam,Intercontinental Dictionary Series,-38.2881,176.541,0.189090698670798
puauhi,Marquesan,,Austronesian,puauhi,yam,Intercontinental Dictionary Series,,,0.618683194819843
uhi,Rapa Nui,rap,Austronesian,ʔuhi,yam,Intercontinental Dictionary Series,-27.113,-109.342,0.40360705431217
uhi,Rotuman,rtm,Austronesian,ʔuhi,yam,Intercontinental Dictionary Series,-12.5008,177.066,0.690421874815869
ufi,Tongan,ton,Austronesian,ʔufi,yam,Intercontinental Dictionary Series,-21.17,-175.25,0.146677170123762
kwarangas,amaimon,ali,Nuclear Trans New Guinea,kwaraŋas,yam,Madang Comparative Wordlists,-5.18742,145.368,0.963861064434549
m,amaimon,ali,Nuclear Trans New Guinea,mʌ,yam,Madang Comparative Wordlists,-5.18742,145.368,0.846932672628862
malak,amele,aey,Nuclear Trans New Guinea,malak,yam,Madang Comparative Wordlists,-5.29126,145.687,0.7579302818513
o,amele,aey,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.29126,145.687,0.847415458298689
nambang,anam,pda,Nuclear Trans New Guinea,nambaŋ,yam,Madang Comparative Wordlists,-4.68869,145.051,0.139814507272626
nuza,anam,pda,Nuclear Trans New Guinea,nuza,yam,Madang Comparative Wordlists,-4.68869,145.051,0.672335603492412
mumba,anamgura,imi,Nuclear Trans New Guinea,mumba,yam,Madang Comparative Wordlists,-4.63762,144.991,0.680539874285262
nambmba,anamgura,imi,Nuclear Trans New Guinea,nambʌmba,yam,Madang Comparative Wordlists,-4.63762,144.991,0.993715746771659
alam,anjam,boj,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.45899,145.717,0.682630740347699
sambi,anjam,boj,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.45899,145.717,0.769453432060712
gunja,apali,ena,Nuclear Trans New Guinea,ɣunja,yam,Madang Comparative Wordlists,-5.1727,145.023,0.711412919211433
kuni,apali,ena,Nuclear Trans New Guinea,kuni,yam,Madang Comparative Wordlists,-5.1727,145.023,0.331314778371604
doku,arawum,awm,Nuclear Trans New Guinea,doku,yam,Madang Comparative Wordlists,-5.52787,145.903,0.852412742786942
mulangk,arawum,awm,Nuclear Trans New Guinea,mulaŋk,yam,Madang Comparative Wordlists,-5.52787,145.903,0.675423734980087
debel,asas,asd,Nuclear Trans New Guinea,dɛbɛl,yam,Madang Comparative Wordlists,-5.69345,145.549,0.786780664070069
hou,asas,asd,Nuclear Trans New Guinea,hou,yam,Madang Comparative Wordlists,-5.69345,145.549,0.218496280511159
ma,atemble,ate,Nuclear Trans New Guinea,ma,yam,Madang Comparative Wordlists,-5.08137,144.806,0.503367361640509
tuguk,atemble,ate,Nuclear Trans New Guinea,tuguk,yam,Madang Comparative Wordlists,-5.08137,144.806,0.647609030793101
o,bagupi,bpi,Nuclear Trans New Guinea,ʔo,yam,Madang Comparative Wordlists,-5.07778,145.632,0.710884749356855
sabel,bagupi,bpi,Nuclear Trans New Guinea,sabɛl,yam,Madang Comparative Wordlists,-5.07778,145.632,0.372678599106991
murak,baimak,bmx,Nuclear Trans New Guinea,murak,yam,Madang Comparative Wordlists,-5.18943,145.606,0.353659932933922
o,baimak,bmx,Nuclear Trans New Guinea,ɔ,yam,Madang Comparative Wordlists,-5.18943,145.606,0.23184609246083
al,bargam,mlp,Nuclear Trans New Guinea,al,yam,Madang Comparative Wordlists,-4.8723,145.756,0.235259820717362
zabel,bargam,mlp,Nuclear Trans New Guinea,zabel,yam,Madang Comparative Wordlists,-4.8723,145.756,0.93832985999662
marak,bau,bbd,Nuclear Trans New Guinea,marak,yam,Madang Comparative Wordlists,-5.26465,145.611,0.440856168089296
o,bau,bbd,Nuclear Trans New Guinea,ʔo:,yam,Madang Comparative Wordlists,-5.26465,145.611,0.694992745686498
meeb,bepour,bie,Nuclear Trans New Guinea,meʔeb,yam,Madang Comparative Wordlists,-4.5985,145.442,0.918693155319897
oro,bepour,bie,Nuclear Trans New Guinea,ɔrɔʔ,yam,Madang Comparative Wordlists,-4.5985,145.442,0.838829420469638
m,bilakura,bql,Nuclear Trans New Guinea,mʌː,yam,Madang Comparative Wordlists,-4.93116,145.559,0.189744580131371
sabulam,bilakura,bql,Nuclear Trans New Guinea,sabulam,yam,Madang Comparative Wordlists,-4.93116,145.559,0.452833551835782
manggri,biyom,bpm,Nuclear Trans New Guinea,maŋgrʌi,yam,Madang Comparative Wordlists,-5.79929,145.348,0.0867176877086778
yanu,biyom,bpm,Nuclear Trans New Guinea,yanu,yam,Madang Comparative Wordlists,-5.79929,145.348,0.0378799343173715
alam,bongu,bpu,Nuclear Trans New Guinea,alam,yam,Madang Comparative Wordlists,-5.50519,145.806,0.684723439249794
sambi,bongu,bpu,Nuclear Trans New Guinea,sambi,yam,Madang Comparative Wordlists,-5.50519,145.806,0.670174084080389
oran,brem,buq,Nuclear Trans New Guinea,oran,yam,Madang Comparative Wordlists,-4.67372,145.562,0.310484175388255
singgua,brem,buq,Nuclear Trans New Guinea,siŋgua,yam,Madang Comparative Wordlists,-4.67372,145.562,0.753627825999936
dabr,danaru,dnr,Nuclear Trans New Guinea,dabr,yam,Madang Comparative Wordlists,-5.53634,145.457,0.74596268413355
